DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
RAISED RIB S0900 L029 T,POLAND,100608.0,218.0
MONOCANALE 1mm GUAINA EST. PVC RAL4001,PUERTO RICO,80.0,4.0
"PVC 80°C 300/500V 2x0,25mmq SH. P.FISSA",PUERTO RICO,60.0,4.0
TRIGLASS 13x8 L684,PUERTO RICO,50.0,4.0
RAISED RIB S0900 L055 T,Palestinian Territory,6096.0,14.0
TRIGLASS 13x8 L684,Palestinian Territory,2000.0,14.0
"Al Ře25,56 L68,3",Palestinian Territory,256.0,14.0
QIR 400V 2500W,Papua New Guinea,257.0,1.0
"Al Ře22,16 L62,3",Papua New Guinea,256.0,1.0
M05x010 ISO7380 AISI304 Classe A2-70,Paraguay,20.0,8.0
KIT DI REVISIONE NASTRINO DI SEPARAZIONE,Paraguay,20.0,8.0
SUPPORTO OVALE UCFL 205 25 PA,Paraguay,6.0,8.0
RAISED RIB S0900 L037 T,Portugal,115975.679375,98.0
RAISED RIB S0900 L029 T,Portugal,21352.0,98.0
"LASTRA Spessore 0,6",Portugal,14722.0,98.0
"CURVILINEA A TAPPARELLA L82,5",Qatar,36576.0,67.0
RAISED RIB S0900 L037 T,Qatar,27448.0,67.0
"RETTILINEA TAPPARELLA L82,5",Qatar,18288.0,67.0
RAISED RIB S0900 L055 T,ROMANIA,204230.50187500002,142.0
RAISED RIB S0900 L037 T,ROMANIA,42733.7353125,142.0
RAISED RIB S0900 L029 T,ROMANIA,21344.0,142.0
RAISED RIB S0900 L037 T,RUSSIAN FEDERATION,551798.484375,388.0
RAISED RIB S0900 L029 T,RUSSIAN FEDERATION,146411.47062500002,388.0
RAISED RIB S0900 L055 T,RUSSIAN FEDERATION,54871.2421875,388.0
CONVERS.A POSYC3000+XPE FULLOPTIONAL,Republic of South Sudan,1.0,1.0
RAISED RIB S0900 L037 T,Reunion Island,21344.0,11.0
TRIGLASS 13x8 L754,Reunion Island,600.0,11.0
TRIGLASS 13x8 L684,Reunion Island,300.0,11.0
RAISED RIB S0900 L055 T,SAINT LUCIA,42688.0,5.0
RAISED RIB S0900 L037 T,SAINT LUCIA,6156.96875,5.0
"CURVILINEA A TAPPARELLA L82,5",SAINT LUCIA,3048.0,5.0
"Sv6858 L25,4 L GOMMATA POLIURETANO NFT",SEYCHELLES,2.0,3.0
"Sv2333,625 L38,1 L POLIURETANO",SEYCHELLES,2.0,3.0
FLXMOD - MDR B2,SEYCHELLES,2.0,3.0
RAISED RIB S0900 L037 T,Saudi Arabia,82364.973125,232.0
"RAISED RIB S0900 L046,5 T",Saudi Arabia,45743.2421875,232.0
RAISED RIB S0900 L029 T,Saudi Arabia,33619.457500000004,232.0
10x26x12 6900 RIVESTITO,Senegal,440.0,6.0
QIR 400V 2500W/ZD5,Senegal,313.0,6.0
RAISED RIB S0900 L037 T,Serbia,195213.72875,72.0
"RAISED RIB S0900 L046,5 T",Serbia,137229.7375,72.0
RAISED RIB S0900 L055 T,Serbia,115870.484375,72.0
RAISED RIB S0900 L037 T,Slovakia,36600.0,26.0
RAISED RIB S0900 L055 T,Slovakia,15240.0,26.0
TRIGLASS 13x8 L684,Slovakia,3900.0,26.0
RAISED RIB S0900 L037 T,Slovenia,6096.0,24.0
TRIGLASS 13x8 L684,Slovenia,1000.0,24.0
M04x008 ISO7380 AISI304 Classe A2-70,Slovenia,320.0,24.0
RAISED RIB S0900 L037 T,South Africa,94617.18625,103.0
RAISED RIB S0900 L055 T,South Africa,57980.9775,103.0
RAISED RIB S0900 L029 T,South Africa,48806.4865625,103.0
RAISED RIB RR611 L055,South Korea,23312.0,109.0
RAISED RIB S0900 L037 T,South Korea,12283.4575,109.0
TRIGLASS 13x8 L684,South Korea,9650.0,109.0
RAISED RIB S0900 L037 T,Spain,234818.69968750002,475.0
RAISED RIB S0900 L055 T,Spain,161600.981875,475.0
RAISED RIB S0900 L029 T,Spain,137280.9775,475.0
"RAISED RIB S0900 L046,5 T",Sri Lanka,21352.0,4.0
"S900 L46,5",Sri Lanka,89.0,4.0
POM+HTF Ř8 L51,Sri Lanka,72.0,4.0
RAISED RIB S0900 L037 T,Sudan,131116.973125,23.0
RAISED RIB S0900 L029 T,Sudan,128070.48875,23.0
"RAISED RIB S0900 L046,5 T",Sudan,30502.48875,23.0
RAISED RIB S0900 L029 T,Suriname,6126.48875,2.0
TRIGLASS 13x8 L684,Suriname,250.0,2.0
TRIGLASS 13x8 L684,Sweden,1800.0,91.0
TRIGLASS 13x8 L720,Sweden,600.0,91.0
DEM25 SILICONE,Sweden,255.0,91.0
RAISED RIB S0900 L037 T,Switzerland,45736.0,19.0
"RETTILINEA TAPPARELLA L82,5",Switzerland,6096.0,19.0
TRIGLASS 13x8 L425,Switzerland,250.0,19.0
"RAISED RIB S0900 L046,5 T",Syria,3048.0,38.0
AUTOLUB. FLANGIATA 10x12x09x18,Syria,800.0,38.0
TRIGLASS 13x8 L684,Syria,700.0,38.0
RAISED RIB S0900 L037 T,TAIWAN R.O.C.,51824.0,50.0
